baseYm,tAtsCd,tAtsNm,areaCd,areaNm,signguCd,signguNm,rlteTatsCd,rlteTatsNm,rlteRegnCd,rlteRegnNm,rlteSignguCd,rlteSignguNm,rlteCtgryLclsNm,rlteCtgryMclsNm,rlteCtgrySclsNm,rlteRank
202607,75a3d0f2eaad6b5d7e5218aea1ad6ebb,홍난파가옥,11,서울특별시,11110,종로구,a0b33214294573276323fa7a692b00f0,화이트스톤갤러리,11,서울특별시,11170,용산구,관광지,문화관광,전시시설,1
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,11,서울특별시,11170,용산구,관광지,문화관광,전시시설,1
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,8f1fc218c06226be8273a0748c68277c,창덕궁,11,서울특별시,11110,종로구,관광지,역사관광,역사유적지,2
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,c870640332e75cb28037f47ff5575f0f,이비스스타일앰배서더/서울용산,11,서울특별시,11170,용산구,숙박,숙박,호텔,3
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,48d711bc1a903d95d891501dd96cdf06,경복궁,11,서울특별시,11110,종로구,관광지,역사관광,역사유적지,4
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,06f81215aa7fdb6e30da21f32aa7028f,호텔국도,11,서울특별시,11140,중구,숙박,숙박,호텔,5
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,8930f0b4a98b760f2a7bf5345eceb251,서대문형무소역사관,11,서울특별시,11410,서대문구,관광지,문화관광,전시시설,6
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,c6b5964eb6deb72206d9bf59a6bb5268,신세계백화점/강남점,11,서울특별시,11650,서초구,관광지,쇼핑,백화점,7
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,0a1ce1c3edf210408700cc3c81c6ac0e,북악스카이웨이,11,서울특별시,11110,종로구,관광지,기타관광,데이트코스,8
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,9072475dc476da0fa2c14d1f4fa521fc,안중근의사기념관,11,서울특별시,11140,중구,관광지,문화관광,전시시설,9
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,11f8b3b1bf78d9c8936758e525e3ed39,서울역,11,서울특별시,11170,용산구,관광지,기타관광,교통시설,10
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,36cd37c4efeb56bfe23c45b6d6d2f82a,예술가의집,11,서울특별시,11110,종로구,관광지,문화관광,기타문화관광지,11
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,679815a8aa65197341ff660588490fa3,서울남부터미널,11,서울특별시,11650,서초구,관광지,기타관광,교통시설,12
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,cc7219c04d90064cd6265bf5e42d0c91,쎈느,11,서울특별시,11200,성동구,음식,음식,카페/찻집,13
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,8f3c468ef60ef8e1afe3e6e17e584d0f,성북동빵공장,11,서울특별시,11290,성북구,음식,음식,간이음식,14
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,9fda7f07535d28055c78de3542012082,일일미미/마곡직영점,11,서울특별시,11500,강서구,음식,음식,외국식,15
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,273e0e5b0ac26479b4d07c1f7be5b5a0,잠실야구장,11,서울특별시,11710,송파구,관광지,문화관광,레저스포츠시설,16
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,bd95520cddb15b1eee99ab1d97ed2774,국립고궁박물관,11,서울특별시,11110,종로구,관광지,문화관광,전시시설,17
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,570bbf09ec6117258c1ecf4805361572,우래옥/본점,11,서울특별시,11140,중구,음식,음식,한식,18
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,7d6ee6c7d086c52e3dc04e6c3c98dd46,덕수궁,11,서울특별시,11140,중구,관광지,역사관광,역사유적지,19
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,6456b98a98f2e065be78624ea07dbd53,혜화칼국수,11,서울특별시,11110,종로구,음식,음식,한식,20
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,294893d955bdcbf7b6aa7dff7764ebaa,페어필드바이메리어트서울호텔,11,서울특별시,11560,영등포구,숙박,숙박,호텔,21
202607,2a13c8116abd9ec7c1e90c2696da0aa5,마로니에공원,11,서울특별시,11110,종로구,aa6be6a4f5997ab91804f3b6be58e878,코엑스,11,서울특별시,11680,강남구,관광지,문화관광,전시시설,22
